,date,precipitation,snow,snow_depth,max_temp,min_temp,avg_daily_wind_speed,avg_relative_humidity,avg_daily_temp,year,month,day,dayof,precip_z,snow_z,maxt_z,mint_z,ws_z,dt_z,score1,score2,score3
69,1975-02-08,0.0,0.0,0.0,50.0,20.0,,,,1975,2,8,2-8,-0.38441954879664436,-0.146424826495752,-0.026954738186896664,-0.9718856555652349,,,3.34,4.0,6.0
70,1975-02-09,0.0,0.0,0.0,42.0,18.0,,,,1975,2,9,2-9,-0.38441954879664436,-0.146424826495752,-0.6676221953954049,-1.1440523993070273,,,3.34,4.0,6.0
71,1975-02-10,0.01,0.0,0.0,48.0,16.0,,,,1975,2,10,2-10,-0.3569100450984724,-0.146424826495752,-0.18712160248902374,-1.3162191430488197,,,3.34,4.0,6.0
72,1975-02-11,0.86,0.0,0.0,60.0,47.0,,,,1975,2,11,2-11,1.9813977692461395,-0.146424826495752,0.7738795833237387,1.3523653849489632,,,5.01,6.0,6.0
73,1975-02-12,0.0,0.0,0.0,58.0,32.0,,,,1975,2,12,2-12,-0.38441954879664436,-0.146424826495752,0.6137127190216116,0.06111480688551981,,,6.68,8.0,8.0
74,1975-02-13,0.0,0.0,0.0,36.0,28.0,,,,1975,2,13,2-13,-0.38441954879664436,-0.146424826495752,-1.1481227883017862,-0.2832186805980651,,,3.34,4.0,6.0
75,1975-02-14,0.0,0.0,0.0,60.0,26.0,,,,1975,2,14,2-14,-0.38441954879664436,-0.146424826495752,0.7738795833237387,-0.4553854243398575,,,5.01,6.0,8.0
76,1975-02-15,0.0,0.0,0.0,65.0,41.0,,,,1975,2,15,2-15,-0.38441954879664436,-0.146424826495752,1.1742967440790564,0.8358651537235858,,,6.68,8.0,8.0
77,1975-02-16,0.51,0.0,0.0,60.0,49.0,,,,1975,2,16,2-16,1.018565139810123,-0.146424826495752,0.7738795833237387,1.5245321286907556,,,5.01,6.0,6.0
78,1975-02-17,0.03,0.0,0.0,63.0,45.0,,,,1975,2,17,2-17,-0.3018910377021286,-0.146424826495752,1.0141298797769294,1.1801986412071708,,,6.68,8.0,8.0
79,1975-02-18,0.0,0.0,0.0,62.0,42.0,,,,1975,2,18,2-18,-0.38441954879664436,-0.146424826495752,0.9340464476258658,0.921948525594482,,,6.68,8.0,8.0
80,1975-02-19,0.0,0.0,0.0,45.0,33.0,,,,1975,2,19,2-19,-0.38441954879664436,-0.146424826495752,-0.42737189894221433,0.14719817875641603,,,5.01,6.0,8.0
